sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,gse,layout,tissue,condition,sex,dpi
SRR35143100,-2.3062102283520747,-12.382059457799267,-20.525869027832663,0.9181452808904395,21.75973303018775,-3.3043027141333847,40.63070809883242,70.73332965570867,-7.472673174465353,19.99228222770679,-2.542713352189784e-13,-1.707154189040138e-13,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143101,-2.2186515893773033,-0.0027709150959303206,19.452906790549466,6.418317989306718,18.569872605461914,-11.467851662352475,-7.29375184494957,6.8205711872197226,23.67117078532562,-77.07023750234114,-2.4785269718184946e-13,-1.6548007346803395e-13,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143102,-1.1276146400546996,4.498966387234356,36.76242417476483,0.4235399614247778,16.802106221345195,-6.118098908554579,-10.141535034852359,-23.186902541047925,-74.68473688891503,6.490887654721174,-2.602203844878006e-13,-1.7168623851327893e-13,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143106,-2.6925222004167364,9.000260355253108,-65.45218562999904,-14.30628272114798,-60.16021080435248,17.862373470256465,6.024412197815832,-19.433101349892002,-12.719940951165356,-13.921060017765482,-2.7355724450966313e-13,-1.723243974828175e-13,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143107,-4.427723487551363,-11.557935932731581,62.84622254383777,11.119624292963316,-43.90786644583074,24.25655739125053,1.1730585779230116,-2.3664802788413146,36.06111958604934,29.83863868462997,-2.444995856110282e-13,-1.5727488592045607e-13,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143108,12.772722145752123,10.443539563139266,-33.08349885132009,-4.573344803437304,46.93636539318872,-21.228677576466513,-30.392891994769442,-32.56741667314753,35.14506064317012,34.669488953048926,-2.442781476749043e-13,-1.6712779888989566e-13,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR19070038,-37.28358029384942,-67.90596782148556,2.3473931197184785,-41.56833982951962,-19.441076738221287,-48.71556409533798,-18.536096916229912,5.002263195343563,-1.2576512814006986,1.7896193872132475,-2.321367836036095e-13,1.014856995093606e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070039,-34.776219970637285,-21.8337988301118,-1.4176428077464136,14.357840451601945,22.96527800679745,13.791523496772433,67.83775474604124,-44.98863547344105,6.634982676043923,-3.6091859552651915,-2.5644353952154797e-13,1.5291708608237122e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070040,-34.80406327506033,-22.73661327950582,-13.284815295846347,12.294069254777805,20.408002869917603,69.52868210422226,-44.99047538513785,16.098504951043683,-6.081395128242802,-2.780625276073733,-2.5147453222693456e-13,1.472815495650521e-13,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070035,182.9699548663962,0.24343069423039357,2.860886175481098,-0.4345382630750427,-4.2979667896468206,0.8773210699147554,1.9501813043623772,2.699377665471886,-1.648688573977658,-2.0327777719156566,-2.291543221749506e-13,1.1906245666378287e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,-39.00901545600053,77.01626412588712,17.531861935995234,-58.74959132265616,1.8048776388096182,3.6150040082349117,5.860998666920201,10.632199072218192,5.897629051440689,1.737555277584676,-2.638451092986092e-13,1.5012080861102228e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,-37.0970758708485,35.216685110985296,-8.037683127602094,74.10055970887115,-21.439114987656467,-39.096966583806235,-12.12236241595576,10.556290589363712,-3.5448767438634268,4.895414338456505,-2.675571494027379e-13,1.5100035766331584e-13,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
