ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,classification
ENSMUSG00000066189,Cacng3,7.282841807907494,2.6787501527976745,2.9448090545884367,0.9096515608113184,0.36300629741091367,0.9668931874698516,Not significant
ENSMUSG00000023243,Kcnk5,1.0580535637623285,2.56959748637196,3.0669785077852674,0.8378270274308257,0.4021278569927319,NA,Not significant
ENSMUSG00000029054,Gabrd,1.841197593470878,1.7008439229142902,1.6188176004547037,1.0506705155889997,0.2934099421521198,NA,Not significant
ENSMUSG00000010803,Gabra1,5.557740480978823,1.4976643436101342,0.907443662831647,1.6504212933029072,0.09885679895604615,NA,Not significant
ENSMUSG00000029211,Gabra4,3.411081774428113,1.4925476089245064,1.6531105006979967,0.902872257053781,NA,NA,Not significant
ENSMUSG00000041189,Chrnb1,1.1037835840934895,1.3030774249288313,1.3047265292622334,0.9987360536507718,0.31792257045340433,NA,Not significant
ENSMUSG00000074575,Kcng1,1.1343302219391789,1.270728229709214,1.3699641226294976,0.9275631446976792,0.3536342228761428,NA,Not significant
ENSMUSG00000040373,Cacng5,136.52777434289456,1.1631790117016607,0.5032041558293059,2.311544923123067,0.02080277481183947,0.9352801924887638,Not significant
ENSMUSG00000047298,Kcnv2,1.3752943464905742,1.1313740938252683,1.0871821712898109,1.0406481302788744,0.29803888470023715,NA,Not significant
ENSMUSG00000046168,Kcnrg,5.818782877499647,1.1024142049963677,1.3354758294478877,0.8254842062189384,0.4090967457039525,NA,Not significant
